entry_id	timestamp_utc	entry_type	project_phase	hypothesis_id	experiment_name	claim_tested	script	command	git_commit	git_dirty	code_diff_summary	host	gpu	python_version	data_root	dataset	subject_ids	task	movie	train_selector	val_selector	test_selector	heldout_policy	leakage_checks	n_train_units	n_val_units	n_test_units	cache_policy	timeline_cache_version	feature_cache_version	model_source	checkpoint	features_to_use	ablation_variable	condition	baseline_entry_id	random_seed	epochs	batch_size	limit_train_batches	loss	optimizer	scheduler	model_config_hash	metric_primary	primary_metric_value	metric_secondary_json	runtime_seconds	result_json_path	artifacts_json	failure_modes	interpretation	claim_status	next_action	reviewer	notes
S0001	2026-05-13T22:34:05Z	run	speed	H001	text_path_event_only	Direct text event construction is faster than TTS/ASR	experiments/text_path_ablation.py	python experiments/text_path_ablation.py --include-legacy --mode events	0151e9a	yes	direct text events added	ripper-TRX50-AERO-D	GPU0/1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	TRIBE demo text	n/a	text	n/a	n/a	short text	n/a	proxy no fMRI split	n/a	1	1	0	mixed cold cache	n/a	n/a	facebook/tribev2	facebook/tribev2	text	event pipeline	direct_vs_legacy_event_only	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	event_speedup_x	1373.691933	{"direct_event_seconds":0.007099,"legacy_event_seconds":9.751203}	9.758301	cache/ablation_results/text_path_ablation_20260513T223405Z.json	{"artifact_id":"A0001"}	none	Event construction speed win only; not fMRI quality.	supported	speed is supported for event construction; run fMRI-quality check before product claim	Codex	Backfilled from existing artifact.
S0002	2026-05-13T22:34:25Z	run	speed	H002	text_path_prediction_agreement	Direct text path preserves similar TRIBE predictions to legacy cached path	experiments/text_path_ablation.py	python experiments/text_path_ablation.py --include-legacy --mode prediction	0151e9a	yes	direct text events added	ripper-TRX50-AERO-D	GPU0/1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	TRIBE demo text	n/a	text	n/a	n/a	short text	n/a	proxy no fMRI split	n/a	1	1	0	warm legacy cache	n/a	n/a	facebook/tribev2	facebook/tribev2	text	event pipeline	direct_vs_legacy_prediction	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	prediction_flat_pearson_common_timesteps	0.861582	{"direct_predict_seconds":3.049827,"legacy_predict_seconds":3.336444}	3.049827	cache/ablation_results/text_path_ablation_20260513T223425Z.json	{"artifact_id":"A0002"}	none	Proxy agreement is preliminary and not a benchmark metric.	exploratory	compare direct text path against fMRI on held-out stimuli	Codex	Backfilled from existing artifact.
S0003	2026-05-14T00:00:00Z	run	quality	H003	s01_6chunk_loss_ablation	MSE baseline for Pearson objective test	experiments/algonauts_text_loss_ablation.py	see result_json query and args	0151e9a	yes	PearsonMSE loss and harness added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a,e01b,e02a,e02b	e03a,e03b	n/a	chunk-heldout adjacent	weak adjacent episode leakage risk	4 chunks	2 chunks	0	warm text cache	text_loss_s01_6chunk_v1	text_loss_s01_6chunk_v1	local tiny	n/a	text	loss	mse	n/a	33	10	1	n/a	MSELoss	Adam	OneCycleLR	n/a	test/pearson	0.015218	{"test/loss":0.818077,"retrieval_top1":1.0}	7.828807	cache/ablation_results/algonauts_text_loss_ablation_s01_6chunk_tiny_10epoch_loss.json	{"artifact_id":"A0003"}	none	Baseline for tiny adjacent-chunk screening.	baseline	use episode-held-out split next	Codex	Backfilled from existing artifact.
S0004	2026-05-14T00:00:00Z	run	quality	H003	s01_6chunk_loss_ablation	PearsonMSE improves benchmark Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see result_json query and args	0151e9a	yes	PearsonMSE loss and harness added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a,e01b,e02a,e02b	e03a,e03b	n/a	chunk-heldout adjacent	weak adjacent episode leakage risk	4 chunks	2 chunks	0	warm text cache	text_loss_s01_6chunk_v1	text_loss_s01_6chunk_v1	local tiny	n/a	text	loss	pearson_mse	S0003	33	10	1	n/a	PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson	0.047092	{"delta_vs_mse":0.031875,"test/loss":0.999242,"retrieval_top1":1.0}	5.748539	cache/ablation_results/algonauts_text_loss_ablation_s01_6chunk_tiny_10epoch_loss.json	{"artifact_id":"A0003"}	none	Promising but still adjacent-chunk tiny exploratory evidence.	keep_exploratory	run episode-held-out multi-seed ablation	Codex	Backfilled from existing artifact.
S0005	2026-05-14T00:00:00Z	run	quality	H004	s01_6chunk_delay_ablation	TemporalDelayBank improves PearsonMSE	experiments/algonauts_text_loss_ablation.py	see result_json query and args	0151e9a	yes	TemporalDelayBank added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a,e01b,e02a,e02b	e03a,e03b	n/a	chunk-heldout adjacent	weak adjacent episode leakage risk	4 chunks	2 chunks	0	warm text cache	text_loss_s01_6chunk_v1	text_loss_s01_6chunk_v1	local tiny	n/a	text	temporal_delay_bank	pearson_mse_delay	S0004	33	10	1	n/a	PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson	0.047725	{"delta_vs_pearson_mse":0.000633,"test/loss":0.998640,"retrieval_top1":1.0}	7.970460	cache/ablation_results/algonauts_text_loss_ablation_s01_6chunk_tiny_10epoch_delay.json	{"artifact_id":"A0004"}	none	Neutral at this scale; do not promote.	neutral	defer delay grid until PearsonMSE survives stronger protocol	Codex	Backfilled from existing artifact.
S0006	2026-05-14T00:00:00Z	run	quality	H003	s01_8chunk_loss_ablation	MSE baseline for larger Pearson objective check	experiments/algonauts_text_loss_ablation.py	see result_json query and args	0151e9a	yes	PearsonMSE loss and harness added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a,e01b,e02a,e02b,e03a,e03b	e04a,e04b	n/a	chunk-heldout adjacent	weak adjacent episode leakage risk	6 chunks	2 chunks	0	cold feature cache included	text_loss_s01_8chunk_v1	text_loss_s01_8chunk_v1	local tiny	n/a	text	loss	mse	n/a	33	10	1	n/a	MSELoss	Adam	OneCycleLR	n/a	test/pearson	0.017867	{"test/loss":0.829689,"retrieval_top1":1.0}	902.441962	cache/ablation_results/algonauts_text_loss_ablation_s01_8chunk_tiny_10epoch_loss.json	{"artifact_id":"A0005"}	none	Runtime includes cold cache; metric is baseline for paired loss check.	baseline	do not use runtime for speed comparison	Codex	Backfilled from existing artifact.
S0007	2026-05-14T00:00:00Z	run	quality	H003	s01_8chunk_loss_ablation	PearsonMSE improves benchmark Pearson over MSE at next scale	experiments/algonauts_text_loss_ablation.py	see result_json query and args	0151e9a	yes	PearsonMSE loss and harness added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a,e01b,e02a,e02b,e03a,e03b	e04a,e04b	n/a	chunk-heldout adjacent	weak adjacent episode leakage risk	6 chunks	2 chunks	0	warm feature cache	text_loss_s01_8chunk_v1	text_loss_s01_8chunk_v1	local tiny	n/a	text	loss	pearson_mse	S0006	33	10	1	n/a	PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson	0.046131	{"delta_vs_mse":0.028264,"test/loss":0.997957,"retrieval_top1":1.0}	7.893628	cache/ablation_results/algonauts_text_loss_ablation_s01_8chunk_tiny_10epoch_loss.json	{"artifact_id":"A0005"}	none	Replicated positive direction; still not confirmatory due adjacent chunk split and one seed.	keep_exploratory	run episode-held-out multi-seed ablation	Codex	Backfilled from existing artifact.
S0008	2026-05-14T00:49:00Z	failure	quality	H003	s01_e01_e08_episode_3seed	PearsonMSE improves episode-held-out Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see A0009 log	0151e9a	yes	episode split harness added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	validates full e07/e08 episodes	12 timelines	4 timelines	0	cold start	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local tiny	n/a	text	loss	both	n/a	33,34,35	10	1	n/a	MSELoss/PearsonMSELoss	Adam	OneCycleLR	n/a	n/a	n/a	{}	n/a	n/a	{"artifact_id":"A0009"}	missing video files e05-e08	Dataset loader validates Video events even for text-only features.	fixed	fetched required MKVs and reran	Codex	Failure logged by directive.
S0009	2026-05-14T00:51:00Z	failure	quality	H003	s01_e01_e08_episode_3seed	PearsonMSE improves episode-held-out Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see A0010 log	0151e9a	yes	episode split harness added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	validates full e07/e08 episodes	12 timelines	4 timelines	0	cold start	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local tiny	n/a	text	loss	both	n/a	33,34,35	10	1	n/a	MSELoss/PearsonMSELoss	Adam	OneCycleLR	n/a	n/a	n/a	{}	n/a	n/a	{"artifact_id":"A0010"}	missing chunk/movie on generated rows	Split transform needed timeline-level inference for generated rows.	fixed	patched split transform and added tests	Codex	Failure logged by directive.
S0010	2026-05-14T00:53:11Z	run	quality	H003	s01_e01_e08_episode_3seed	PearsonMSE improves episode-held-out Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	episode split and seed loop added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	no val episode chunks in train	12 timelines	4 timelines	0	first MSE cold cache; rest warm	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local tiny	n/a	text	loss	pearson_mse_vs_mse	n/a	33,34,35	10	1	n/a	MSELoss/PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson	0.029462	{"mse":[0.032539,0.029561,0.029140],"pearson_mse":[0.058000,0.060324,0.061302],"deltas":[0.025461,0.030763,0.032162],"mean_delta":0.029462,"all_positive":true,"retrieval_top1":1.0}	1339.987312	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_3seed_v1.json	{"artifact_id":"A0007","log_id":"A0008"}	none	Stronger exploratory evidence; survives episode holdout and 3 seeds on one subject/tiny model.	keep_exploratory	run same split at default model scale before larger data split	Codex	Primary metric value records mean delta, not raw Pearson.
S0011	2026-05-14T01:19:56Z	run	quality	H003	s01_e01_e08_full_loss_ablation	High-weight PearsonMSE improves default-scale Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	PearsonMSE loss and episode split harness added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	no val episode chunks in train	12 timelines	4 timelines	0	warm after first run	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local default	n/a	text	loss	high_pearson_mse_vs_mse	n/a	33,34,35	10	1	n/a	MSELoss/PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	-0.012724	{"mse_mean":0.084577,"pearson_mse_mean":0.071853,"deltas":[0.001789,-0.019375,-0.020585],"all_positive":false}	489.000000	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_3seed_v1.json	{"artifact_id":"A0011","log_id":"A0012"}	none	High-weight PearsonMSE failed at default model scale.	reject	test only weak MSE-dominant auxiliary once before stopping Pearson-loss line	Codex	Primary metric value records mean delta.
S0012	2026-05-14T01:22:50Z	run	quality	H003	s01_e01_e08_full_aux_p010	Weak Pearson auxiliary improves default-scale Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	PearsonMSE loss supports configurable weights	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	no val episode chunks in train	12 timelines	4 timelines	0	warm cache	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local default	n/a	text	loss	pearson_weight_0.1_mse_weight_1.0	S0011_mse_mean	33,34,35	10	1	n/a	PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	0.004053	{"mse_mean":0.084577,"aux_mean":0.08863,"deltas":[0.01434,0.002002,-0.004183],"all_positive":false}	251.205777	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p010_3seed_v1.json	{"artifact_id":"A0013","log_id":"A0014"}	none	Mean positive but one negative seed; not promoted.	mixed	run larger-split falsification before any promotion	Codex	Primary metric value records mean delta.
S0013	2026-05-14T01:23:33Z	run	quality	H003	s01_e01_e08_full_aux_p025	Stronger weak Pearson auxiliary improves default-scale Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	PearsonMSE loss supports configurable weights	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	no val episode chunks in train	12 timelines	4 timelines	0	warm cache	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local default	n/a	text	loss	pearson_weight_0.25_mse_weight_1.0	S0011_mse_mean	33,34,35	10	1	n/a	PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	-0.003232	{"mse_mean":0.084577,"aux_mean":0.081345,"deltas":[0.009115,-0.003928,-0.014882],"all_positive":false}	252.187590	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p025_3seed_v1.json	{"artifact_id":"A0015","log_id":"A0016"}	none	Mean negative; reject.	reject	do not continue this weight	Codex	Primary metric value records mean delta.
S0014	2026-05-14T01:27:00Z	run	quality	H004	s01_e01_e08_full_mse_delay_l6s2	Hidden TemporalDelayBank improves default-scale MSE baseline	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	TemporalDelayBank added after transformer before head	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	no val episode chunks in train	12 timelines	4 timelines	0	warm cache	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local default	n/a	text	temporal_delay_bank	hidden_lags6_stride2_mse	S0011_mse_mean	33,34,35	10	1	n/a	MSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	0.000628	{"baseline_mean":0.084577,"delay_mean":0.085205,"deltas":[0.000698,0.000621,0.000565],"all_positive":true}	252.000000	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_mse_delay_l6s2_3seed_v1.json	{"artifact_id":"A0017","log_id":"A0018"}	none	All-positive but far below meaningful threshold.	neutral	test output-level delay once on larger split; do not claim improvement	Codex	Primary metric value records mean delta.
S0015	2026-05-14T02:16:54Z	run	quality	H003	s01_e01_e12_full_aux_p010_falsification	Weak Pearson auxiliary generalizes to larger episode split	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	larger split cache and weak auxiliary falsification	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e10	e11-e12	n/a	episode-heldout	no val episode chunks in train	20 timelines	4 timelines	0	first MSE cold text cache; rest warm	text_loss_episode_s01_e01_e12_val_e11_e12_v1	text_loss_episode_s01_e01_e12_val_e11_e12_v1	local default	n/a	text	loss	pearson_weight_0.1_mse_weight_1.0	same artifact MSE seeds	33,34,35	10	1	n/a	MSELoss/PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	0.002574	{"mse_mean":0.093322,"aux_mean":0.095896,"deltas":[-0.005355,0.015133,-0.002056],"all_positive":false}	2723.641295	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_aux_p010_3seed_v1.json	{"artifact_id":"A0020","log_id":"A0021"}	none	Larger split remains mixed and below gate; stop Pearson-loss line.	reject	move to output-level temporal/hemodynamic modeling under MSE	Codex	Primary metric value records mean delta; first MSE runtime includes cold cache.
S0016	2026-05-14T02:24:45Z	run	quality	H004	s01_e01_e12_full_mse_output_delay_l6s2	Output-level TemporalDelayBank improves default-scale MSE baseline	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	output-level TemporalDelayBank added after subject head before pooling	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e10	e11-e12	n/a	episode-heldout	no val episode chunks in train	20 timelines	4 timelines	0	warm text cache	text_loss_episode_s01_e01_e12_val_e11_e12_v1	text_loss_episode_s01_e01_e12_val_e11_e12_v1	local default	n/a	text	output_temporal_delay_bank	output_lags6_stride2_mse	S0015 same artifact MSE seeds	33,34,35	10	1	n/a	MSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	-0.001497	{"baseline_mean":0.093322,"output_delay_mean":0.091825,"deltas":[-0.01175,0.005108,0.002152],"all_positive":false,"positive_seeds":2}	127.718266	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_output_delay_l6s2_3seed_v1.json	{"artifact_id":"A0022","log_id":"A0023"}	none	Output-level delay failed the larger-split gate; pause delay-bank line.	reject	move to text representation quality under MSE	Codex	Primary metric value records mean delta.
S0017	2026-05-14T03:09:26Z	run	quality	H005	s01_e01_e12_full_mse_qwen06b_6layer_mean	Averaging six Qwen hidden layers improves text-feature quality over one layer	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	harness text feature override flags added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e10	e11-e12	n/a	episode-heldout	no val episode chunks in train	20 timelines	4 timelines	0	first seed cold text cache; rest warm	text_loss_episode_s01_e01_e12_val_e11_e12_qwen06b_6layers_v1	text_loss_episode_s01_e01_e12_val_e11_e12_qwen06b_6layers_v1	local default	n/a	text	text_feature_layers	qwen06b_layers_0_0.2_0.4_0.6_0.8_1.0_mean_aggregated	S0015 same artifact MSE seeds	33,34,35	10	1	n/a	MSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	-0.011640	{"baseline_mean":0.093322,"feature_mean":0.081682,"deltas":[0.000718,-0.014526,-0.021112],"all_positive":false,"positive_seeds":1,"extractor_dims":"text:(1,1024)"}	2446.037261	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_qwen06b_6layers_3seed_v1.json	{"artifact_id":"A0024","log_id":"A0025"}	protocol narrowed: layers were mean-aggregated to one vector	Averaged six-layer Qwen underperformed; do not promote. This does not test concatenated layers.	reject	run cheap extractor-dimension smoke before next feature ablation	Codex	Primary metric value records mean delta; first seed runtime includes cold feature cache.
S0018	2026-05-14T03:11:35Z	failure	quality	H005	smoke_qwen06b_6layers_cat_dims	Concatenated Qwen hidden layers can be exposed through data.layer_aggregation=cat	experiments/algonauts_text_loss_ablation.py	see failure log	0151e9a	yes	harness text feature override flags added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a	e01b	n/a	chunk smoke only	not a quality claim	1 chunk	1 chunk	0	no feature extraction; failed validation	smoke_qwen06b_6layers_cat_dims_v1	smoke_qwen06b_6layers_cat_dims_v1	local tiny	n/a	text	data.layer_aggregation	cat	n/a	33	1	1	1	MSELoss	Adam	OneCycleLR	n/a	validation_error	n/a	{"error":"data.layer_aggregation only allows group_mean or mean"}	n/a	n/a	{"log_id":"A0026"}	pydantic validation rejected data.layer_aggregation=cat	Concatenated-layer text features are not exposed via this config switch.	blocked	inspect data layer plumbing before attempting concatenated feature run	Codex	Failure logged by directive.
